antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'furniture_living_room'}),frozenset({'housewares'}),0.007306889352818371,0.08298538622129437,0.0010438413361169101,0.14285714285714285,1.7214734950584005,1.0,0.000437476301097014,1.069850382741823,0.4221871713985279,0.011695906432748537,0.06528986096430603,0.07771787960467205
frozenset({'food'}),frozenset({'sports_leisure'}),0.006784968684759917,0.13569937369519833,0.0015657620041753654,0.23076923076923075,1.7005917159763313,1.0,0.0006450460031119112,1.123590814196242,0.4147836748992818,0.01111111111111111,0.10999628390932738,0.12115384615384614
frozenset({'home_construction'}),frozenset({'sports_leisure'}),0.006784968684759917,0.13569937369519833,0.0015657620041753654,0.23076923076923075,1.7005917159763313,1.0,0.0006450460031119112,1.123590814196242,0.4147836748992818,0.01111111111111111,0.10999628390932738,0.12115384615384614
frozenset({'drinks'}),frozenset({'health_beauty'}),0.005741127348643006,0.10908141962421712,0.0010438413361169101,0.1818181818181818,1.666811657242279,1.0,0.00041759101468351323,1.0889004871259567,0.4023622047244093,0.009174311926605505,0.08164243489375297,0.0956937799043062
frozenset({'consoles_games'}),frozenset({'health_beauty'}),0.009916492693110648,0.10908141962421712,0.0015657620041753654,0.15789473684210525,1.4474943339209265,1.0,0.00048405690351768,1.0579658141962422,0.31224740818836766,0.013333333333333332,0.054789874510529385,0.08612440191387559
frozenset({'telephony'}),frozenset({'computers_accessories'}),0.04279749478079332,0.07776617954070981,0.004697286012526096,0.10975609756097561,1.4113602880995253,1.0,0.0013690883495103313,1.0359338805159148,0.3044953350296861,0.040540540540540536,0.03468742667053156,0.085079391062367
"frozenset({'housewares', 'bed_bath_table'})",frozenset({'furniture_decor'}),0.010960334029227558,0.13569937369519833,0.0020876826722338203,0.19047619047619044,1.4036630036630033,1.0,0.000600372208977471,1.0676654795529903,0.29076517150395764,0.01444043321299639,0.06337704163791116,0.10293040293040291
frozenset({'small_appliances'}),frozenset({'housewares'}),0.009394572025052192,0.08298538622129437,0.0010438413361169101,0.1111111111111111,1.338923829489867,1.0,0.0002642291482341865,1.031641440501044,0.25553213909378286,0.011428571428571429,0.030670966925946997,0.06184486373165618
frozenset({'consoles_games'}),frozenset({'housewares'}),0.009916492693110648,0.08298538622129437,0.0010438413361169101,0.10526315789473682,1.2684541542535581,1.0,0.0002209173600184795,1.0248986859879652,0.21375856615708996,0.011363636363636362,0.024293802234670318,0.05892088712346904
"frozenset({'furniture_decor', 'bed_bath_table'})",frozenset({'housewares'}),0.02035490605427975,0.08298538622129437,0.0020876826722338203,0.10256410256410255,1.2359296887598772,1.0,0.0003985229318212522,1.0218162839248435,0.19485881726158752,0.020618556701030924,0.02135049545408109,0.06386066763425254
