ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,Ano_Novo,Ano_Novo_lower,Ano_Novo_upper,Black_Friday,Black_Friday_lower,Black_Friday_upper,Carnaval,Carnaval_lower,Carnaval_upper,Criancas,Criancas_lower,Criancas_upper,Cyber_Monday,Cyber_Monday_lower,Cyber_Monday_upper,Dia_dos_Pais,Dia_dos_Pais_lower,Dia_dos_Pais_upper,Independencia,Independencia_lower,Independencia_upper,Labour_Day,Labour_Day_lower,Labour_Day_upper,Namorados,Namorados_lower,Namorados_upper,Natal,Natal_lower,Natal_upper,Pascoa,Pascoa_lower,Pascoa_upper,Tiradentes,Tiradentes_lower,Tiradentes_upper,additive_terms,additive_terms_lower,additive_terms_upper,holidays,holidays_lower,holidays_upper,monthly,monthly_lower,monthly_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2017-11-27,29402.33587995086,49192.76324555481,62238.63332804274,29402.33587995086,29402.33587995086,0.0,0.0,0.0,5372.21946235744,5372.21946235744,5372.21946235744,0.0,0.0,0.0,0.0,0.0,0.0,5372.21946235744,5372.21946235744,5372.21946235744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26333.369832214656,26333.369832214656,26333.369832214656,10744.43892471488,10744.43892471488,10744.43892471488,-1533.8450836630514,-1533.8450836630514,-1533.8450836630514,4203.539984513864,4203.539984513864,4203.539984513864,12919.236006648965,12919.236006648965,12919.236006648965,0.0,0.0,0.0,55735.705712165516
2017-11-28,29455.34566593667,48761.82493700175,61552.20011921516,29455.34566593667,29455.34566593667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9968.619569901439,9968.619569901439,9968.619569901439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25770.41761439911,25770.41761439911,25770.41761439911,9968.619569901439,9968.619569901439,9968.619569901439,-551.7923798041553,-551.7923798041553,-551.7923798041553,3347.897897521557,3347.897897521557,3347.897897521557,13005.692526780265,13005.692526780265,13005.692526780265,0.0,0.0,0.0,55225.763280335785
2017-11-29,29504.758325925908,38820.91223150285,52376.05894682303,29504.758325925908,29504.758325925908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15786.760581437098,15786.760581437098,15786.760581437098,0.0,0.0,0.0,381.1386116397662,381.1386116397662,381.1386116397662,2476.4677993021955,2476.4677993021955,2476.4677993021955,12929.154170495138,12929.154170495138,12929.154170495138,0.0,0.0,0.0,45291.518907363
2017-11-30,29554.170985915145,37662.00144612072,50789.77179295312,29554.170985915145,29554.170985915145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14796.679148481748,14796.679148481748,14796.679148481748,0.0,0.0,0.0,887.3704401835261,887.3704401835261,887.3704401835261,1219.9357873466058,1219.9357873466058,1219.9357873466058,12689.372920951615,12689.372920951615,12689.372920951615,0.0,0.0,0.0,44350.8501343969
2017-12-01,29603.583645904386,35375.60941127759,48378.759424451455,29603.583645904386,29603.583645904386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12317.498866643624,12317.498866643624,12317.498866643624,0.0,0.0,0.0,994.3619423545198,994.3619423545198,994.3619423545198,-965.6856366772349,-965.6856366772349,-965.6856366772349,12288.822560966339,12288.822560966339,12288.822560966339,0.0,0.0,0.0,41921.08251254801
2017-12-02,29652.99630589362,29926.67518796843,42626.09536902415,29652.99630589362,29652.99630589362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6808.176621766769,6808.176621766769,6808.176621766769,0.0,0.0,0.0,1021.80803449741,1021.80803449741,1021.80803449741,-5946.296305800007,-5946.296305800007,-5946.296305800007,11732.664893069368,11732.664893069368,11732.664893069368,0.0,0.0,0.0,36461.17292766039
2017-12-03,29702.40896588286,31096.61705083229,44490.1924501674,29702.40896588286,29702.40896588286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7907.564485466495,7907.564485466495,7907.564485466495,0.0,0.0,0.0,1214.758836282783,1214.758836282783,1214.758836282783,-4335.859526220685,-4335.859526220685,-4335.859526220685,11028.665175404398,11028.665175404398,11028.665175404398,0.0,0.0,0.0,37609.97345134935
2017-12-04,29751.821625872097,38895.59890625722,52031.92743076394,29751.821625872097,29751.821625872097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15886.919577833509,15886.919577833509,15886.919577833509,0.0,0.0,0.0,1496.321155385241,1496.321155385241,1496.321155385241,4203.539984515731,4203.539984515731,4203.539984515731,10187.058437932536,10187.058437932536,10187.058437932536,0.0,0.0,0.0,45638.741203705606
2017-12-05,29801.234285861334,37294.76503562293,50725.80530761438,29801.234285861334,29801.234285861334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14139.585646030671,14139.585646030671,14139.585646030671,0.0,0.0,0.0,1571.3184185707826,1571.3184185707826,1571.3184185707826,3347.8978975198293,3347.8978975198293,3347.8978975198293,9220.369329940058,9220.369329940058,9220.369329940058,0.0,0.0,0.0,43940.81993189201
2017-12-06,29850.64694585057,35658.67451535166,48196.691040241145,29850.64694585057,29850.64694585057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11874.42826849421,11874.42826849421,11874.42826849421,0.0,0.0,0.0,1254.7713890678563,1254.7713890678563,1254.7713890678563,2476.4677992997495,2476.4677992997495,2476.4677992997495,8143.189080126603,8143.189080126603,8143.189080126603,0.0,0.0,0.0,41725.07521434478
2017-12-07,29900.059605839808,31886.05556224803,45419.1853195977,29900.059605839808,29900.059605839808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8875.438272401598,8875.438272401598,8875.438272401598,0.0,0.0,0.0,683.5884794638557,683.5884794638557,683.5884794638557,1219.9357873476717,1219.9357873476717,1219.9357873476717,6971.914005590071,6971.914005590071,6971.914005590071,0.0,0.0,0.0,38775.497878241404
2017-12-08,29949.47226582905,28321.20244327266,41022.64568268754,29949.47226582905,29949.47226582905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4960.461847186039,4960.461847186039,4960.461847186039,0.0,0.0,0.0,201.69671595528368,201.69671595528368,201.69671595528368,-965.6856366763504,-965.6856366763504,-965.6856366763504,5724.450767907108,5724.450767907108,5724.450767907108,0.0,0.0,0.0,34909.934113015086
2017-12-09,29998.88492581828,21536.205121791943,34498.741006524724,29998.88492581828,29998.88492581828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1481.3975490936587,-1481.3975490936587,-1481.3975490936587,0.0,0.0,0.0,45.00452877820836,45.00452877820836,45.00452877820836,-5946.296305800478,-5946.296305800478,-5946.296305800478,4419.89422792861,4419.89422792861,4419.89422792861,0.0,0.0,0.0,28517.487376724624
2017-12-10,30048.297585807522,22352.162430971428,35568.85250363821,30048.297585807522,30048.297585807522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1106.4641069947204,-1106.4641069947204,-1106.4641069947204,0.0,0.0,0.0,151.21113714170417,151.21113714170417,151.21113714170417,-4335.859526212011,-4335.859526212011,-4335.859526212011,3078.184282075588,3078.184282075588,3078.184282075588,0.0,0.0,0.0,28941.8334788128
2017-12-11,30097.71024579676,29877.10595203239,42982.24698313261,30097.71024579676,30097.71024579676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6206.092962793152,6206.092962793152,6206.092962793152,0.0,0.0,0.0,282.8045165508307,282.8045165508307,282.8045165508307,4203.539984509832,4203.539984509832,4203.539984509832,1719.7484617324887,1719.7484617324887,1719.7484617324887,0.0,0.0,0.0,36303.80320858991
2017-12-12,30147.122905785996,27899.970336722483,40922.95415264949,30147.122905785996,30147.122905785996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4035.048452493019,4035.048452493019,4035.048452493019,0.0,0.0,0.0,322.01321965579524,322.01321965579524,322.01321965579524,3347.8978975231676,3347.8978975231676,3347.8978975231676,365.13733531405546,365.13733531405546,365.13733531405546,0.0,0.0,0.0,34182.17135827902
2017-12-13,30196.535565775233,25910.940451267204,38361.63266402556,30196.535565775233,30196.535565775233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1923.5479725994269,1923.5479725994269,1923.5479725994269,0.0,0.0,0.0,412.42030824533606,412.42030824533606,412.42030824533606,2476.467799300523,2476.467799300523,2476.467799300523,-965.3401349464314,-965.3401349464314,-965.3401349464314,0.0,0.0,0.0,32120.08353837466
