ds,y
2018-01-23,39724.21
2018-01-24,36480.52
2018-01-25,34734.25
2018-01-26,38997.68
2018-01-27,24568.62
2018-01-28,27038.13
2018-01-29,35457.08
2018-01-30,34449.27
2018-01-31,37295.06
2018-02-01,35335.42
2018-02-02,32357.3
2018-02-03,27168.39
2018-02-04,27924.3
2018-02-05,42606.83
2018-02-06,39571.58
2018-02-07,36109.44
2018-02-08,31531.31
2018-02-09,34643.87
2018-02-10,24342.08
2018-02-11,25778.18
2018-02-12,27569.29
2018-02-13,27905.94
2018-02-14,42981.02
2018-02-15,37329.78
2018-02-16,31585.44
2018-02-17,29274.24
2018-02-18,28947.04
2018-02-19,33350.49
2018-02-20,42353.02
2018-02-21,37588.37
2018-02-22,37030.02
2018-02-23,33072.96
2018-02-24,27999.58
2018-02-25,34765.18
2018-02-26,49964.6
2018-02-27,46870.06
2018-02-28,52222.78
2018-03-01,45754.1
2018-03-02,37373.53
2018-03-03,31028.69
2018-03-04,37351.0
2018-03-05,44416.7
2018-03-06,45526.99
2018-03-07,42471.16
2018-03-08,33659.86
2018-03-09,33460.02
2018-03-10,30457.18
2018-03-11,36618.35
2018-03-12,35778.83
2018-03-13,41034.56
2018-03-14,28323.84
2018-03-15,49144.36
2018-03-16,38097.2
2018-03-17,23741.96
2018-03-18,36076.38
2018-03-19,52368.17
2018-03-20,42435.69
2018-03-21,46294.0
2018-03-22,36640.95
2018-03-23,32408.67
2018-03-24,27711.42
2018-03-25,30120.52
2018-03-26,41331.24
2018-03-27,40618.659999999996
2018-03-28,32520.9
2018-03-29,33411.48
2018-03-30,26069.07
2018-03-31,29053.17
2018-04-01,33888.62
2018-04-02,47181.78
2018-04-03,41946.54
2018-04-04,43567.82
2018-04-05,42167.63
2018-04-06,31957.97
2018-04-07,29014.86
2018-04-08,27883.61
2018-04-09,55782.82
2018-04-10,32535.28
2018-04-11,46264.22
2018-04-12,39945.38
2018-04-13,34835.61
2018-04-14,22305.81
2018-04-15,36399.37
2018-04-16,46913.96
2018-04-17,42431.770000000004
2018-04-18,46125.99
2018-04-19,49636.88
2018-04-20,32581.99
2018-04-21,22465.89
2018-04-22,31803.77
2018-04-23,44363.29
2018-04-24,49731.8
2018-04-25,47291.36
2018-04-26,36622.61
2018-04-27,46643.99
2018-04-28,26801.96
2018-04-29,22939.28
2018-04-30,40767.76
2018-05-01,38232.1
2018-05-02,43437.93
2018-05-03,48257.14
2018-05-04,45494.1
2018-05-05,32252.02
2018-05-06,32703.94
2018-05-07,61027.75
2018-05-08,54193.8
2018-05-09,50847.64
2018-05-10,57157.22
2018-05-11,43250.01
2018-05-12,33808.62
2018-05-13,36202.29
2018-05-14,61999.05
2018-05-15,49251.97
2018-05-16,64279.82
2018-05-17,35415.69
2018-05-18,35970.04
2018-05-19,28140.17
2018-05-20,22717.99
2018-05-21,28743.66
2018-05-22,31761.32
2018-05-23,20262.3
2018-05-24,22278.7
2018-05-25,18137.37
2018-05-26,16914.09
2018-05-27,14693.68
2018-05-28,30114.99
2018-05-29,29441.33
2018-05-30,22529.07
2018-05-31,28156.52
2018-06-01,37284.05
2018-06-02,28939.99
2018-06-03,32625.87
2018-06-04,34326.4
2018-06-05,36105.95
2018-06-06,32176.98
2018-06-07,42676.38
2018-06-08,31797.2
2018-06-09,34033.78
2018-06-10,30140.75
2018-06-11,57345.56
2018-06-12,46715.85
2018-06-13,41092.34
2018-06-14,32707.21
2018-06-15,31285.71
2018-06-16,29000.08
2018-06-17,20751.52
2018-06-18,40737.48
2018-06-19,39826.33
2018-06-20,34251.5
2018-06-21,33301.99
2018-06-22,28617.01
2018-06-23,21101.59
2018-06-24,29291.59
2018-06-25,41743.3
2018-06-26,37273.88
2018-06-27,32505.93
2018-06-28,38740.94
2018-06-29,25048.66
2018-06-30,18621.71
2018-07-01,29060.7
2018-07-02,29113.41
2018-07-03,31361.38
2018-07-04,41318.53
2018-07-05,33715.63
2018-07-06,22108.67
2018-07-07,11277.24
2018-07-08,17294.26
2018-07-09,23122.17
2018-07-10,22246.77
2018-07-11,21430.86
2018-07-12,22950.829999999998
2018-07-13,32529.39
2018-07-14,26099.55
2018-07-15,34432.93
2018-07-16,36542.5
2018-07-17,35030.38
2018-07-18,48787.99
2018-07-19,44911.25
2018-07-20,37905.62
2018-07-21,25194.23
2018-07-22,31012.06
2018-07-23,47703.79
2018-07-24,46945.58
2018-07-25,47792.54
2018-07-26,41323.11
2018-07-27,33331.12
2018-07-28,29802.29
2018-07-29,34476.09
2018-07-30,44460.74
2018-07-31,52805.64
2018-08-01,48282.25
2018-08-02,45252.19
2018-08-03,48945.08
2018-08-04,40895.12
2018-08-05,41492.99
2018-08-06,62923.11
2018-08-07,56385.88
2018-08-08,50832.62
2018-08-09,46283.2
2018-08-10,39444.44
2018-08-11,30565.72
2018-08-12,36739.75
2018-08-13,45811.26
2018-08-14,51138.46
2018-08-15,52134.86
2018-08-16,41699.15
2018-08-17,37584.04
2018-08-18,28698.1
2018-08-19,29989.35
2018-08-20,39830.07
2018-08-21,30830.68
2018-08-22,24262.62
2018-08-23,19522.579999999998
2018-08-24,11252.09
2018-08-25,11737.76
2018-08-26,9304.0
2018-08-27,6111.6
2018-08-28,4121.23
2018-08-29,1762.7
